benchmark,run,result
eight-queens,baseline,1006454
eight-queens,lvn,943981
quicksort-hoare,baseline,27333
quicksort-hoare,lvn,27333
bubblesort,baseline,253
bubblesort,lvn,252
char-poly,baseline,383
char-poly,lvn,376
dot-product,baseline,88
dot-product,lvn,88
1dconv,baseline,391
1dconv,lvn,391
quicksort,baseline,264
quicksort,lvn,262
binary-search,baseline,78
binary-search,lvn,73
shufflesort,baseline,36564
shufflesort,lvn,36563
fnv1-hash,baseline,1768440
fnv1-hash,lvn,1768439
two-sum,baseline,98
two-sum,lvn,68
major-elm,baseline,47
major-elm,lvn,44
primitive-root,baseline,11029
primitive-root,lvn,11024
cordic,baseline,1062
cordic,lvn,807
adler32,baseline,6851
adler32,lvn,6851
connected-components,baseline,1978
connected-components,lvn,1978
max-subarray,baseline,193
max-subarray,lvn,192
csrmv,baseline,121202
csrmv,lvn,120652
adj2csr,baseline,56629
adj2csr,lvn,56629
mat-mul,baseline,1990407
mat-mul,lvn,1990407
sieve,baseline,3482
sieve,lvn,3453
fib,baseline,121
fib,lvn,120
vsmul,baseline,86036
vsmul,lvn,86036
quickselect,baseline,279
quickselect,lvn,278
