benchmark,run,result
eight-queens,baseline,1006454
eight-queens,tdce,959702
quicksort-hoare,baseline,27333
quicksort-hoare,tdce,27333
bubblesort,baseline,253
bubblesort,tdce,253
char-poly,baseline,383
char-poly,tdce,383
dot-product,baseline,88
dot-product,tdce,88
1dconv,baseline,391
1dconv,tdce,391
quicksort,baseline,264
quicksort,tdce,264
binary-search,baseline,78
binary-search,tdce,75
shufflesort,baseline,36564
shufflesort,tdce,36564
fnv1-hash,baseline,1768440
fnv1-hash,tdce,1768440
two-sum,baseline,98
two-sum,tdce,88
major-elm,baseline,47
major-elm,tdce,47
primitive-root,baseline,11029
primitive-root,tdce,11024
cordic,baseline,1062
cordic,tdce,1041
adler32,baseline,6851
adler32,tdce,6851
connected-components,baseline,1978
connected-components,tdce,1978
max-subarray,baseline,193
max-subarray,tdce,193
csrmv,baseline,121202
csrmv,tdce,120652
adj2csr,baseline,56629
adj2csr,tdce,56629
mat-mul,baseline,1990407
mat-mul,tdce,1990407
sieve,baseline,3482
sieve,tdce,3455
fib,baseline,121
fib,tdce,121
vsmul,baseline,86036
vsmul,tdce,86036
quickselect,baseline,279
quickselect,tdce,279
