benchmark,run,result
relative-primes,baseline,1923
relative-primes,tdce,1914
palindrome,baseline,298
palindrome,tdce,298
quadratic,baseline,785
quadratic,tdce,783
binpow,baseline,105
binpow,tdce,105
mccarthy91,baseline,1385
mccarthy91,tdce,1385
combination,baseline,178
combination,tdce,178
mod_pow,baseline,243
mod_pow,tdce,243
bbs,baseline,137
bbs,tdce,137
loopfact,baseline,116
loopfact,tdce,115
armstrong,baseline,133
armstrong,tdce,130
bitwise-ops,baseline,1690
bitwise-ops,tdce,1689
binary-fmt,baseline,100
binary-fmt,tdce,100
bitshift,baseline,167
bitshift,tdce,167
fitsinside,baseline,10
fitsinside,tdce,10
montgomery,baseline,17
montgomery,tdce,17
rot13,baseline,8
rot13,tdce,8
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
catalan,baseline,659378
catalan,tdce,659378
check-primes,baseline,8468
check-primes,tdce,8419
totient,baseline,253
totient,tdce,253
sum-bits,baseline,73
sum-bits,tdce,73
hamming,baseline,117
hamming,tdce,117
ackermann,baseline,1464231
ackermann,tdce,1464231
gcd,baseline,46
gcd,tdce,46
fib_recursive,baseline,2693
fib_recursive,tdce,2693
permutation,baseline,130
permutation,tdce,129
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
sum-digits,baseline,219
sum-digits,tdce,218
sqrt_bin_search,baseline,744
sqrt_bin_search,tdce,718
is-decreasing,baseline,127
is-decreasing,tdce,127
collatz,baseline,169
collatz,tdce,169
mod_inv,baseline,558
mod_inv,tdce,555
sum-divisors,baseline,159
sum-divisors,tdce,159
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
fact,baseline,229
fact,tdce,228
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3036
primes-between,baseline,574100
primes-between,tdce,574100
orders,baseline,5352
orders,tdce,5352
euclid,baseline,563
euclid,tdce,562
karatsuba,baseline,1548
karatsuba,tdce,1548
reverse,baseline,46
reverse,tdce,46
delannoy,baseline,5748752
delannoy,tdce,5748751
recfact,baseline,104
recfact,tdce,103
digital-root,baseline,247
digital-root,tdce,247
hanoi,baseline,99
hanoi,tdce,99
pascals-row,baseline,146
pascals-row,tdce,139
up-arrow,baseline,252
up-arrow,tdce,252
lcm,baseline,2326
lcm,tdce,2326
geometric-sum,baseline,35
geometric-sum,tdce,35
sum-check,baseline,5018
sum-check,tdce,5018
factors,baseline,72
factors,tdce,72
perfect,baseline,232
perfect,tdce,232
